Id,Name,RatingDist1,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Genre,PublicationYear
116590,"The Wizard of Oz and Other Narcissists: Coping with the One-Way Relationship in Work, Love, and Family",1:12,4:474,total:1347,23,4,Julian Day Publications,120,2010,eng,Eleanor D. Payson,4.13,2:58,5:566,0972072837,3:237,Religion,2002
2181460,An Old-fashioned Romance,1:10,4:434,total:1409,2,29,Distractions Ink,125,2012,en-US,Marcia Lynn McClure,4.06,2:69,5:577,0985280700,3:319,Biography & Autobiography,
5359,The Client,1:3051,4:149110,total:378641,16,3,Delta,1999,2010,eng,John Grisham,4.01,2:13670,5:125856,0385339089,3:86954,Fiction,2005
278227,How We Survived Communism and Even Laughed,1:21,4:1174,total:2763,7,6,Harper Perennial,180,2016,eng,Slavenka Drakulić,4.08,2:102,5:975,0060975407,3:491,,1993
1131592,"Extremis (John Rain, #5)",1:48,4:2892,total:7203,5,2,Barry Eisler,113,2013,,Barry Eisler,4.27,2:125,5:3231,,3:907,,
114168,"Worth Any Price (Bow Street Runners, #3)",1:139,4:6527,total:16467,26,5,Avon,572,2015,eng,Lisa Kleypas,4.02,2:659,5:5632,0380811073,3:3510,,
97860,Tuesday,1:493,4:6961,total:24289,27,9,Clarion Books,2042,2011,eng,David Wiesner,4.18,2:1082,5:11836,0395870828,3:3917,Juvenile Fiction,1991
1085771,"The Walking Dead, Vol. 7: The Calm Before",1:80,4:7503,total:20468,25,7,Image Comics,617,2017,eng,Robert Kirkman,4.26,2:372,5:9453,1582408289,3:3060,Dystopias,
535754,"Reforming a Rake (With This Ring, #1)",1:60,4:1364,total:3516,29,7,Avon,135,2014,,Suzanne Enoch,3.91,2:182,5:1067,0380809168,3:843,,2000
3724526,Darcy's Passions: Pride and Prejudice Retold Through His Eyes,1:82,4:455,total:1541,4,13,CreateSpace Independent Publishing Platform,162,2017,eng,Regina Jeffers,3.6,2:165,5:399,,3:440,,
